Catégorie,Définition Catégorie,Sous-Catégorie,Compte,Définition Sous-Catégorie
Passif,"Le passif désigne l'ensemble des dettes et obligations financières d'une entreprise envers des tiers.

1. Un prêt bancaire à rembourser. 2. Des factures à payer pour des fournitures de bureau. 3. Des salaires dus aux employés. 4. Des impôts à régler au gouvernement. 5. Les loyers dus pour les locaux de l'entreprise. 6. Des dettes fournisseurs pour des marchandises non encore réglées. 7. Une obligation d'emprunt obligataire. 8. Des avances reçues de clients pour des services futurs. 9. Des sommes dues pour des services de publicité. 10. Des charges à payer pour des services publics. 11. Des accords de crédit avec des partenaires commerciaux. 12. Des dettes fiscales pour des taxes sur les ventes. 13. Des engagements de retraite pour les employés. 14. Des garanties de remboursement sur des produits vendus. 15. Des pénalités de retard à régler pour des paiements non effectués.",Emprunt de banque,2000,Ce compte enregistre les emprunts contractés auprès des banques.
Passif,"Le passif désigne les dettes et obligations financières d'une entreprise, représentant ce qu'elle doit à des tiers.

1. Un prêt bancaire que l'entreprise doit rembourser. 2. Les factures impayées pour des services fournis. 3. Les salaires dus aux employés à la fin du mois. 4. Les impôts à payer au gouvernement. 5. Les dettes envers des fournisseurs pour des marchandises non réglées. 6. Les remboursements d'emprunts obligataires. 7. Les loyers dus pour des locaux commerciaux. 8. Les avances reçues de clients pour des services non encore rendus. 9. Les frais médicaux à payer pour des employés. 10. Les charges sociales dues aux organismes de sécurité sociale. 11. Les dettes de carte de crédit utilisées pour des achats d'entreprise. 12. Les assurances à payer pour des polices en cours. 13. Les engagements de retraite pour les employés. 14. Les dividendes à verser aux actionnaires. 15. Les litiges en cours qui pourraient entraîner des paiements.",Comptes à payer,2020,Ce compte enregistre les dettes de l'entreprise envers ses fournisseurs.
Passif,"Le passif désigne l'ensemble des dettes et obligations financières d'une entreprise, représentant ce qu'elle doit à des tiers.

1. Un prêt bancaire que l'entreprise a contracté pour financer ses opérations. 2. Une facture impayée pour des services fournis par un fournisseur. 3. Des salaires dus aux employés à la fin du mois. 4. Des impôts à payer au gouvernement. 5. Un bail à payer pour des locaux commerciaux. 6. Des obligations obligataires que l'entreprise a émises pour lever des fonds. 7. Un crédit fournisseur pour des marchandises reçues mais non encore réglées. 8. Des dettes de carte de crédit utilisées pour des achats d'entreprise. 9. Des acomptes reçus de clients pour des services futurs. 10. Un prêt à taux d'intérêt à rembourser dans les années à venir. 11. Des obligations de retraite que l'entreprise doit à ses employés. 12. Des dettes liées à des projets d'investissement en cours. 13. Des charges à payer pour des services de publicité. 14. Un contrat de leasing pour des équipements de production. 15. Des frais juridiques dus à des litiges en cours.",Salaires à payer,2040,Ce compte enregistre les salaires dus aux employés mais non encore versés.
Passif,"Le passif désigne l'ensemble des dettes et obligations financières d'une entreprise envers des tiers.

1. Un prêt bancaire contracté pour financer des équipements. 2. Les factures à payer aux fournisseurs pour des marchandises achetées. 3. Les salaires dus aux employés à la fin du mois. 4. Les impôts à payer à l'État pour l'année en cours. 5. Un crédit-bail pour des machines industrielles. 6. Les emprunts obligataires émis pour lever des fonds. 7. Les dépôts reçus des clients pour des services futurs. 8. Les charges à payer, comme les loyers en attente. 9. Les engagements financiers à long terme, comme des contrats de service. 10. Les dettes fiscales résultant de l'impôt sur les sociétés. 11. Les provisions pour risques, comme les litiges en cours. 12. Les crédits fournisseurs pour des achats à crédit. 13. Les avances reçues de clients pour des produits non livrés. 14. Les obligations de remboursement d'un prêt à long terme. 15. Les dettes d'exploitation, comme les frais de fonctionnement non réglés.",Commissions à payer,2060,Ce compte enregistre les commissions dues aux agents commerciaux.
Passif,"Le passif d'une entreprise désigne l'ensemble de ses obligations financières et de ses dettes.

1. Un prêt bancaire que l'entreprise doit rembourser. 2. Des factures d'électricité impayées. 3. Un crédit fournisseur pour des marchandises achetées. 4. Des salaires dus aux employés. 5. Des impôts à payer au gouvernement. 6. Un emprunt obligataire. 7. Des loyers dus pour des locaux commerciaux. 8. Des avances reçues de clients pour des services futurs. 9. Des provisions pour litiges à régler. 10. Des dettes liées à des achats de matériel. 11. Des charges sociales à verser. 12. Des frais de marketing non réglés. 13. Des remboursements de prêts auprès d'entreprises affiliées. 14. Des obligations de retraite des employés. 15. Des dettes envers des partenaires commerciaux.",Impôt fédéral sur salaires à payer,2100,Ce compte enregistre les impôts fédéraux sur les salaires à payer.
Passif,"Le passif désigne l'ensemble des dettes et obligations financières d'une entreprise envers des tiers.

1. Un prêt bancaire que l'entreprise doit rembourser. 2. Les factures impayées des fournisseurs. 3. Les salaires dus aux employés à la fin du mois. 4. Les impôts à payer au gouvernement. 5. Les obligations émises par l'entreprise pour lever des fonds. 6. Les loyers dus pour un local commercial. 7. Les remboursements d'un crédit à la consommation par l'entreprise. 8. Les charges à payer pour des services non encore réglés. 9. Les dettes envers des partenaires commerciaux. 10. Les avances reçues de clients pour des produits non livrés. 11. Les frais de publicité non encore réglés. 12. Les dettes fiscales à payer pour l'année en cours. 13. Les obligations de pension envers les employés. 14. Les prêts d'honneur à rembourser. 15. Les dettes contractées pour l'achat d'équipements.",Impôt provincial sur salaires à payer,2120,Ce compte enregistre les impôts provinciaux sur les salaires à payer.
Passif,"Le passif désigne les obligations financières et les dettes d'une entreprise envers des tiers.

1. Un prêt bancaire que l'entreprise doit rembourser. 2. Des factures impayées pour des services fournis. 3. Les salaires dus aux employés à la fin du mois. 4. Des obligations émises par l'entreprise pour lever des fonds. 5. Des crédits fournisseurs pour des marchandises achetées à crédit. 6. Les impôts à payer au gouvernement. 7. Les loyers dus pour un local commercial. 8. Des prêts hypothécaires sur des biens immobiliers. 9. Des dettes envers des partenaires pour des projets communs. 10. Les frais juridiques à régler après un procès. 11. Des charges sociales à payer pour les employés. 12. Les remboursements d'une avance reçue d'un client. 13. Les dettes d'une filiale envers sa société mère. 14. Les paiements dus pour des services de maintenance. 15. Des engagements de paiement pour des contrats à long terme.",TPS à payer,2260,Ce compte enregistre la taxe sur les produits et services à payer.
Passif,"Le passif désigne les obligations financières et les dettes qu'une entreprise doit rembourser.

1. Un prêt bancaire que l'entreprise doit rembourser. 2. Les factures impayées des fournisseurs. 3. Les salaires dus aux employés à la fin du mois. 4. Les loyers dus pour un local commercial. 5. Les impôts à payer au gouvernement. 6. Les dettes de carte de crédit professionnelles. 7. Les obligations à long terme émises par l'entreprise. 8. Les crédits d'impôt non encore remboursés. 9. Les contrats de leasing pour des équipements. 10. Les avances reçues des clients pour des services futurs. 11. Les coûts d'entretien non réglés pour des machines. 12. Les provisions pour litiges en cours. 13. Les dettes envers des partenaires commerciaux. 14. Les paiements dus pour des achats d'inventaire. 15. Les engagements de retraite pour les employés.",TVQ à payer,2280,Ce compte enregistre la taxe de vente du Québec à payer.
Passif,"Le passif désigne l'ensemble des dettes et obligations financières d'une entreprise envers des tiers.

1. Un prêt bancaire que l'entreprise doit rembourser. 2. Des factures d'électricité non encore réglées. 3. Des salaires dus aux employés pour le mois en cours. 4. Un crédit fournisseur pour des marchandises achetées. 5. Des impôts à payer à l'État. 6. Des loyers dus pour un local commercial. 7. Des emprunts obligataires que l'entreprise a émis. 8. Des provisions pour litiges en cours. 9. Des intérêts à payer sur un emprunt. 10. Des paiements différés sur des équipements achetés. 11. Des dettes fiscales accumulées. 12. Des remboursements de prêts à des partenaires commerciaux. 13. Des obligations de maintenance sur des équipements loués. 14. Des engagements de retraite pour les employés. 15. Des avances reçues de clients pour des services non encore rendus.",Dépôts de clients,2300,Ce compte enregistre les dépôts effectués par les clients pour des services futurs.
Passif,"Le passif désigne l'ensemble des dettes et obligations financières qu'une entreprise doit rembourser.

1. Un prêt bancaire de 10 000 € à rembourser dans 5 ans.
2. Des factures impayées de fournisseurs pour un montant de 2 000 €.
3. Un crédit-bail pour des équipements d'une valeur de 15 000 €.
4. Des salaires dus aux employés à la fin du mois.
5. Des impôts à payer au gouvernement de 3 000 €.
6. Un emprunt obligataire de 50 000 € souscrit par l'entreprise.
7. Des charges sociales à régler pour le personnel.
8. Un découvert bancaire de 1 500 €.
9. Des prêts d'honneur à rembourser à des organismes de soutien.
10. Une dette envers un partenaire commercial pour des services rendus.
11. Des remboursements de prêts étudiants pour les employés.
12. Des avances reçues de clients pour des produits non encore livrés.
13. Des obligations de paiement liées à des contrats de maintenance.
14. Des contributions à des régimes de retraite à verser.
15. Des loyers dus pour un local commercial.",Hypothèque à payer,2500,Ce compte enregistre les hypothèques souscrites par l'entreprise.
Passif,"Le passif désigne l'ensemble des obligations et des dettes qu'une entreprise doit rembourser à des tiers.

1. Un prêt bancaire que l'entreprise doit rembourser. 2. Des factures à payer pour des fournitures reçues. 3. Des salaires dus aux employés à la fin du mois. 4. Des impôts à régler auprès de l'État. 5. Des dettes envers des fournisseurs pour des marchandises. 6. Des obligations d'emprunt à rembourser aux investisseurs. 7. Des loyers dus pour un local commercial. 8. Des charges sociales à payer pour les employés. 9. Des crédits fournisseurs pour des achats à tempérament. 10. Des sommes dues pour des services de consultants. 11. Des engagements de paiement pour des contrats de sous-traitance. 12. Des dividendes à verser aux actionnaires. 13. Des intérêts à payer sur un emprunt. 14. Des provisions pour risques et charges. 15. Des pénalités éventuelles à payer pour non-respect de contrats.",Liens sur machinerie,2550,Ce compte enregistre les prêts garantis par des équipements de machinerie.
Passif,"Le passif désigne l'ensemble des dettes et obligations financières d'une entreprise envers des tiers.

1. Un emprunt bancaire à rembourser dans les cinq prochaines années. 2. Des factures impayées pour des services de nettoyage. 3. Un prêt accordé par un fournisseur pour l'achat de matériel. 4. Des salaires dus aux employés à la fin du mois. 5. Des impôts à payer à l'État. 6. Un crédit-bail pour des équipements de bureau. 7. Des avances reçues de clients pour des services futurs. 8. Des dettes commerciales envers d'autres entreprises. 9. Des obligations émises pour financer de nouveaux projets. 10. Un découvert bancaire utilisé pour gérer les flux de trésorerie. 11. Des prêts étudiants à rembourser par un employé de l'entreprise. 12. Des charges à payer pour des services publics comme l'électricité. 13. Des primes de fin d'année dues aux employés. 14. Des loyers dus pour des locaux commerciaux. 15. Des créances fiscales à rembourser pour des aides gouvernementales.",Liens sur matériel roulant,2570,Ce compte enregistre les prêts garantis par des véhicules de l'entreprise.
Passif,"Le passif désigne les obligations financières et les dettes qu'une entreprise doit rembourser. Cela inclut tout ce qu'elle doit à d'autres, comme des prêts, des factures ou des salaires non payés.

1. Un prêt bancaire que l'entreprise doit rembourser. 2. Des factures impayées pour des services reçus. 3. Les salaires dus aux employés à la fin du mois. 4. Une hypothèque sur un bâtiment appartenant à l'entreprise. 5. Les dettes fournisseurs pour des marchandises achetées à crédit. 6. Les impôts à payer au gouvernement. 7. Les obligations émises par l'entreprise pour lever des fonds. 8. Les arrhes perçues d'un client pour un service non encore réalisé. 9. Les contrats de location à long terme que l'entreprise doit respecter. 10. Les frais de litige ou d'arbitrage à régler. 11. Les remboursements de prêts à des associés ou partenaires. 12. Les indemnités de départ à verser aux employés. 13. Les dettes envers des organismes de sécurité sociale. 14. Les paiements dus pour des services de publicité non réglés. 15. Les avances reçues de clients pour des projets futurs.",Capital - actions ordinaires,2900,Ce compte enregistre la valeur des actions ordinaires émises par l'entreprise.
Passif,"Le passif désigne l'ensemble des obligations financières et des dettes qu'une entreprise doit rembourser.

1. Un prêt bancaire à rembourser dans les cinq prochaines années.
2. Les factures impayées pour des services de communication.
3. Un emprunt obligataire émis pour financer un projet.
4. Les salaires dus aux employés à la fin du mois.
5. Les taxes à payer à l'État pour l'année fiscale en cours.
6. Les loyers dus pour un local commercial.
7. Les dettes fournisseurs pour des marchandises achetées à crédit.
8. Les charges sociales à verser aux organismes sociaux.
9. Un crédit-bail pour du matériel informatique.
10. Les acomptes reçus sur des ventes futures à livrer.
11. Les provisions pour litiges potentiels.
12. Les engagements de retraite pour les employés.
13. Les montants dus sur des cartes de crédit d’entreprise.
14. Les dettes fiscales pour des impôts sur le revenu.
15. Une avance de fonds reçue pour un projet à réaliser.",Capital - actions privilégiées,2920,Ce compte enregistre la valeur des actions privilégiées émises par l'entreprise.
Passif,"Le passif désigne l'ensemble des dettes et obligations financières d'une entreprise, représentant ce qu'elle doit à d'autres.

1. Un prêt bancaire que l'entreprise doit rembourser. 2. Les factures impayées aux fournisseurs. 3. Les salaires dus aux employés à la fin du mois. 4. Les impôts à payer au gouvernement. 5. Les loyers dus pour l'utilisation d'un local. 6. Les obligations de remboursement d'un emprunt obligataire. 7. Les frais de services publics non réglés. 8. Les avances reçues des clients pour des services futurs. 9. Les dettes envers les partenaires commerciaux. 10. Les crédits fournisseurs pour des marchandises non payées. 11. Les provisions pour litiges en cours. 12. Les charges à payer pour des travaux de rénovation. 13. Les dettes fiscales accumulées. 14. Les engagements de retraite pour les employés. 15. Les prêts de sociétaires dans une coopérative.",Surplus d’apport,2950,Ce compte enregistre les apports des actionnaires excédant la valeur nominale des actions.
Passif,"Le passif désigne l'ensemble des dettes et obligations financières d'une entreprise, représentant ce qu'elle doit à des tiers.

1. Un prêt bancaire à rembourser. 2. Des factures impayées pour des services reçus. 3. Des salaires dus aux employés à la fin du mois. 4. Des impôts à payer au gouvernement. 5. Des crédits fournisseurs pour des marchandises achetées à crédit. 6. Des obligations émises pour lever des fonds. 7. Des loyers dus pour un local commercial. 8. Des emprunts obligataires à rembourser. 9. Des provisions pour litiges en cours. 10. Des charges à payer pour des services non encore facturés. 11. Des dettes envers des partenaires commerciaux. 12. Des remboursements d'avance reçue de clients. 13. Des engagements de pension pour les employés. 14. Des dettes liées à des contrats de leasing. 15. Des frais de publicité à régler.",Bénéfices non répartis,2970,Ce compte enregistre les bénéfices accumulés non distribués aux actionnaires.
Ventes,"Les ventes désignent l'argent que l'entreprise gagne en échange de ses biens ou services.

1. Une boulangerie vend des baguettes et perçoit de l'argent des clients. 2. Un magasin de vêtements réalise des ventes en proposant des robes et des pantalons. 3. Un prestataire de services de nettoyage facture ses clients pour les services rendus. 4. Une librairie génère des revenus en vendant des livres. 5. Un restaurant reçoit des paiements pour les repas servis. 6. Une entreprise de télécommunications vend des forfaits mobiles. 7. Un fabricant de meubles réalise des ventes de canapés et de tables. 8. Un site e-commerce vend des produits électroniques en ligne. 9. Un artiste vend ses œuvres d'art dans une galerie. 10. Une compagnie aérienne perçoit des fonds pour les billets d'avion. 11. Un salon de coiffure facture ses clients pour les coupes de cheveux. 12. Un service de livraison de repas gagne de l'argent en livrant des plats. 13. Une entreprise de jardinage vend des services d'entretien de jardins. 14. Un photographe propose des séances photo payantes. 15. Un service de streaming facture un abonnement mensuel pour accéder à ses contenus.",Vente de produits finis,3000,Ce compte enregistre les revenus générés par la vente de produits finis fabriqués ou achetés par l'entreprise.
Ventes,"Les ventes désignent les revenus obtenus par une entreprise grâce à la commercialisation de ses biens et services.

1. Une librairie vend des livres et génère des ventes. 2. Un restaurant facture des repas à ses clients. 3. Une boutique de vêtements réalise des ventes en vendant des habits. 4. Un concessionnaire automobile vend des voitures et enregistre des revenus. 5. Une entreprise de logiciels facture ses produits à des utilisateurs. 6. Un salon de coiffure reçoit des paiements pour des coupes de cheveux. 7. Une salle de cinéma vend des billets pour des projections de films. 8. Une agence de voyages propose des séjours et perçoit des paiements. 9. Un supermarché effectue des ventes en vendant divers produits alimentaires. 10. Un artisan vend ses créations lors de foires ou en ligne. 11. Une société de nettoyage facture ses services à des clients. 12. Un photographe vend des tirages de ses photos. 13. Une entreprise de jardinage reçoit des paiements pour ses services d'entretien. 14. Un service de livraison de repas facture des frais aux clients. 15. Un gymnase propose des abonnements et enregistre des ventes.",Vente de services,3010,Ce compte enregistre les revenus générés par la prestation de services fournis par l'entreprise.
Ventes,"Les ventes désignent les revenus que génère une entreprise en échange de biens ou de services qu'elle propose.

1. Une boulangerie vend des baguettes, ce qui lui rapporte de l'argent. 2. Un magasin de vêtements vend des robes et des pantalons. 3. Un prestataire de services informatiques facture des heures de travail. 4. Un restaurant encaisse des paiements pour des repas servis. 5. Une librairie vend des livres et des magazines. 6. Un concessionnaire automobile vend des voitures neuves et d'occasion. 7. Une entreprise de construction reçoit des paiements pour des projets réalisés. 8. Une salle de cinéma vend des billets pour des projections. 9. Un photographe facture des séances photo. 10. Un producteur de musique vend des albums et des téléchargements. 11. Une école de danse facture des cours de danse. 12. Un artisan vend des meubles faits main sur un marché. 13. Une entreprise de nettoyage facture des services de nettoyage. 14. Un site de commerce en ligne vend des produits divers. 15. Un service de livraison vend des repas à domicile.",Vente de marchandises,3020,Ce compte enregistre les revenus générés par la vente de marchandises achetées et revendues sans transformation.
Ventes,"Les ventes désignent les revenus obtenus par une entreprise en échange de biens ou de services qu'elle propose.

1. Une librairie vend des livres et enregistre des ventes. 2. Un restaurant génère des ventes en offrant des repas à des clients. 3. Un magasin de vêtements réalise des ventes lorsqu'il vend des vêtements. 4. Une société de logiciels fait des ventes en vendant des licences de son produit. 5. Un service de nettoyage génère des ventes en facturant ses services aux clients. 6. Une entreprise de construction enregistre des ventes en fournissant des services de construction. 7. Un café réalise des ventes en vendant des boissons et des pâtisseries. 8. Une société de livraison enregistre des ventes en proposant ses services de transport. 9. Un producteur de films génère des ventes en vendant des droits de diffusion. 10. Une plateforme de e-commerce enregistre des ventes en vendant des produits en ligne. 11. Un photographe tire des revenus de ses ventes en offrant des séances photo. 12. Un gymnase fait des ventes en proposant des abonnements mensuels à ses membres. 13. Un concessionnaire automobile génère des ventes en vendant des voitures. 14. Un artiste réalise des ventes en vendant ses œuvres d'art. 15. Une agence de voyage enregistre des ventes en proposant des forfaits vacances. 16. Un fleuriste enregistre des ventes en vendant des bouquets. 17. Une compagnie aérienne réalise des ventes en vendant des billets d'avion. 18. Un fabricant de meubles génère des ventes en vendant des meubles aux détaillants. 19. Un service de streaming enregistre des ventes grâce à des abonnements mensuels. 20. Un artisan vend des produits faits main lors de marchés locaux.",Vente d'une immobilisation,3030,Ce compte enregistre les revenus générés par la cession d'immobilisations corporelles et incorporelles.
Ventes,"Les ventes désignent l'argent gagné par une entreprise grâce à la vente de ses produits ou services.

1. Une librairie vend des livres et enregistre le montant reçu comme ventes. 2. Un restaurant génère des ventes en servant des repas à ses clients. 3. Un magasin de vêtements réalise des ventes lors de l'achat de vêtements par des clients. 4. Une entreprise de logiciels vend des licences et comptabilise ces revenus comme ventes. 5. Un garage automobile effectue des réparations et enregistre les frais comme ventes. 6. Un fleuriste enregistre les ventes lors de la vente de bouquets de fleurs. 7. Un café réalise des ventes en vendant des boissons et des pâtisseries. 8. Une salle de sport comptabilise les abonnements comme ventes. 9. Un cinéma génère des ventes en vendant des billets pour des films. 10. Un service de streaming enregistre les revenus des abonnements comme ventes. 11. Un vendeur en ligne réalise des ventes par le biais de sa boutique sur Internet. 12. Un traiteur compte ses revenus lors de la vente de repas pour des événements. 13. Une entreprise de construction enregistre les paiements reçus pour des projets comme ventes. 14. Un photographe réalise des ventes en vendant ses photos à des clients. 15. Un magasin de meubles comptabilise les ventes lors de la livraison de nouveaux meubles.",Autres gains divers,3040,Ce compte enregistre les gains exceptionnels ou non récurrents liés à des opérations inhabituelles.
Ventes,"Les ventes sont les revenus obtenus par une entreprise grâce à la vente de ses biens ou services.

1. Une boulangerie vend des pains et des pâtisseries. 2. Un magasin de vêtements réalise des ventes en proposant des vêtements à la clientèle. 3. Un restaurant génère des ventes en servant des repas et des boissons. 4. Une librairie obtient des ventes en vendant des livres. 5. Une entreprise de services informatiques facture des services de développement de logiciels. 6. Un café réalise des ventes en proposant des boissons chaudes et des snacks. 7. Une société de voyage génère des ventes en vendant des forfaits vacances. 8. Un fleuriste obtient des ventes en proposant des arrangements floraux. 9. Une entreprise de construction réalise des ventes en construisant des maisons. 10. Un site de commerce en ligne génère des ventes en vendant divers produits. 11. Un salon de coiffure facture des services de coupe et de coiffage. 12. Une salle de sport obtient des ventes en proposant des abonnements d'adhésion. 13. Une entreprise de nettoyage génère des ventes en offrant des services de nettoyage. 14. Un service de livraison de repas réalise des ventes en livrant des plats cuisinés. 15. Un photographe obtient des ventes en vendant des séances photo.",Revenus de location,3050,Ce compte enregistre les revenus générés par la location d'équipements ou d'immeubles appartenant à l'entreprise.
Ventes,"Les ventes désignent les revenus obtenus par une entreprise grâce à la vente de ses produits ou services.

1. Un magasin de vêtements vend des robes, générant des revenus. 2. Un café vend des boissons et des pâtisseries, ce qui lui rapporte de l'argent. 3. Une entreprise de logiciels vend une application, créant ainsi des revenus. 4. Un restaurant vend des repas, augmentant ses profits. 5. Une librairie vend des livres, générant des ventes. 6. Un constructeur automobile vend des voitures, ce qui contribue à ses revenus. 7. Une société de nettoyage facture des services, obtenant des revenus. 8. Un photographe vend des séances photo, générant des ventes. 9. Une plateforme en ligne vend des abonnements, augmentant ses revenus. 10. Un producteur de musique vend des albums, générant des bénéfices. 11. Une entreprise de jardinage vend des plantes, créant des revenus. 12. Un gymnase vend des abonnements mensuels, générant des ventes. 13. Une entreprise de livraison vend des services de transport, augmentant ses revenus. 14. Un artisan vend des objets faits main sur un marché, générant des ventes. 15. Une société de tourisme vend des forfaits de vacances, créant des bénéfices.",Gain de change,3060,Ce compte enregistre les gains réalisés en raison des fluctuations des taux de change sur les transactions en devises étrangères.
Ventes,"Les ventes représentent l'argent gagné par une entreprise grâce à la vente de ses produits ou services.

1. Un magasin de vêtements vend des t-shirts et encaisse de l'argent. 2. Un restaurant facture des repas à ses clients. 3. Une librairie vend des livres et reçoit des paiements. 4. Une entreprise de logiciels vend des licences à des utilisateurs. 5. Un fleuriste vend des bouquets pour des événements. 6. Un service de nettoyage facture ses clients pour ses prestations. 7. Un constructeur automobile vend des voitures neuves. 8. Une salle de cinéma vend des billets pour des films. 9. Une entreprise de construction facture des projets de rénovation. 10. Un vendeur de voiture d'occasion vend un véhicule à un particulier. 11. Un coach sportif propose des séances d'entraînement payantes. 12. Une école de langues facture des cours à ses élèves. 13. Un site de e-commerce vend des produits en ligne. 14. Un photographe professionnel vend des tirages de ses photos. 15. Une entreprise de jardinage facture des services d'aménagement paysager.",Produits financiers,3070,"Ce compte enregistre les intérêts perçus, les dividendes et autres revenus issus des placements financiers."
Ventes,"Les ventes désignent l'argent gagné par une entreprise en échange de ses biens ou services.

1. Une boutique vend des vêtements et reçoit de l'argent en retour. 2. Un restaurant facture ses repas aux clients. 3. Une librairie encaisse des paiements pour des livres. 4. Un service de nettoyage est rémunéré pour ses prestations. 5. Un artiste vend des œuvres d'art à des collectionneurs. 6. Une entreprise de logiciels propose un abonnement et reçoit des paiements mensuels. 7. Un photographe vend des tirages de ses photos. 8. Un agriculteur vend des fruits et légumes sur un marché. 9. Une salle de sport facture des adhésions à ses membres. 10. Une société de transport perçoit des frais pour le transport de marchandises. 11. Un artisan vend des bijoux faits main lors d'un salon. 12. Un confiseur vend des bonbons dans une boutique. 13. Un consultant est payé pour des conseils professionnels. 14. Une entreprise de construction encaisse des paiements pour des projets réalisés. 15. Une école de danse facture des cours aux élèves.",Subventions reçues,3080,Ce compte enregistre les subventions gouvernementales et autres aides financières perçues par l'entreprise.
Ventes,"Les ventes désignent les revenus obtenus par une entreprise grâce à la vente de ses biens et services.

1. Une librairie vend des livres et reçoit des paiements. 2. Un restaurant génère des ventes en servant des repas à ses clients. 3. Un magasin de vêtements obtient des revenus en vendant des habits. 4. Une entreprise de logiciels fait des ventes en proposant des licences de son programme. 5. Un plombier facture des services de réparation à ses clients. 6. Une compagnie aérienne vend des billets pour des vols. 7. Un garage automobile réalise des ventes en effectuant des réparations et en vendant des pièces. 8. Un producteur agricole vend ses récoltes sur un marché. 9. Un photographe vend des tirages de ses photos. 10. Un site e-commerce génère des ventes en expédiant des produits en ligne. 11. Un salon de coiffure facture des coupes de cheveux. 12. Une entreprise de construction reçoit des paiements pour des projets de construction. 13. Un service de nettoyage génère des ventes en offrant des services à domicile. 14. Une bijouterie obtient des revenus en vendant des bijoux. 15. Une école de musique facture des cours à ses élèves.",Escomptes de volume sur ventes,3800,Ce compte enregistre les réductions accordées aux clients en fonction du volume des ventes réalisées.
Ventes,"Les ventes sont les revenus que génère une entreprise en échange de biens ou de services qu'elle propose.

1. Un magasin de vêtements vend des t-shirts et enregistre ses ventes. 2. Un restaurant facture les repas servis à ses clients. 3. Un artisan vend des meubles faits main à des particuliers. 4. Une entreprise de nettoyage offre des services de nettoyage de bureaux et reçoit des paiements. 5. Une librairie vend des livres en ligne et en magasin. 6. Un salon de coiffure facture des coupes de cheveux et des soins capillaires. 7. Une société de télécommunications vend des forfaits mobiles à ses clients. 8. Un e-commerçant vend des électroniques comme des téléviseurs et des smartphones. 9. Une entreprise de construction facture des travaux de rénovation à ses clients. 10. Un photographe professionnel vend des séances photo et des tirages. 11. Une boulangerie vend des pains et des pâtisseries. 12. Un service de streaming propose des abonnements pour accéder à sa bibliothèque de films. 13. Un studio de yoga propose des cours payants à ses participants. 14. Une entreprise de location de voitures facture des services de location à court terme. 15. Une société de conseil facture des honoraires pour ses services de conseil aux entreprises.",Marchandises retournées,3900,Ce compte enregistre la valeur des produits retournés par les clients après la vente.
Frais variables,"Les frais variables sont des coûts liés à la production et aux ventes qui changent selon le niveau d'activité. Plus vous produisez ou vendez, plus ces frais augmentent.

1. Coût des matières premières pour fabriquer des vêtements : plus vous fabriquez de vêtements, plus vous avez besoin de tissu. 2. Frais de livraison : ils augmentent si vous expédiez plus de produits. 3. Salaires des ouvriers payés à l'heure : plus ils travaillent d'heures, plus le coût total augmente. 4. Coût de l'énergie pour faire fonctionner des machines : dépend de la quantité produite. 5. Commissions de vente : les vendeurs touchent plus s'ils vendent plus. 6. Emballage des produits : le coût augmente avec le nombre d'articles à emballer. 7. Publicité basée sur les ventes : si les ventes augmentent, les frais publicitaires peuvent aussi augmenter. 8. Coût des services publics (électricité, eau) en fonction de l'utilisation des machines. 9. Coût des pièces de rechange pour les machines en fonction de la production. 10. Frais de stockage : peuvent augmenter si vous devez stocker plus de produits. 11. Coût des transports pour le réapprovisionnement en fonction de la quantité de marchandises. 12. Frais de personnel temporaire pour les périodes de forte activité. 13. Coût des outils et équipements utilisés uniquement pour des projets spécifiques. 14. Frais de maintenance des machines qui varient selon l'utilisation. 15. Coût des fournitures de bureau pour des événements spéciaux ou des campagnes promotionnelles.",Achats de matières premières,4000,Ce compte enregistre les coûts des matières premières utilisées dans la fabrication des produits.
Frais variables,"Les frais variables sont des coûts qui changent en fonction du niveau de production ou des ventes. Plus l'activité augmente, plus ces coûts augmentent, et inversement.

1. Le coût des matières premières pour fabriquer des vêtements augmente avec le nombre de pièces produites. 2. Les commissions des vendeurs qui dépendent du montant des ventes réalisées. 3. Les frais d'expédition qui augmentent avec le volume des produits expédiés. 4. Les coûts d'énergie pour faire fonctionner des machines en fonction de leur utilisation. 5. Le coût des emballages qui varie selon le nombre de produits vendus. 6. Les frais de stockage qui augmentent si plus de produits sont stockés. 7. Les salaires des ouvriers payés à l'heure, qui augmentent si la production est plus élevée. 8. Les coûts de maintenance des équipements qui augmentent avec leur utilisation. 9. Le coût des impressions publicitaires qui varie selon le nombre de campagnes lancées. 10. Les frais de nettoyage qui dépendent de la quantité de produits fabriqués. 11. Les dépenses en fournitures de bureau qui augmentent avec le nombre de clients servis. 12. Les coûts de transport qui varient selon la distance et le volume des livraisons. 13. Les frais de marketing qui augmentent avec le nombre d'événements promotionnels. 14. Le coût des services de sous-traitance qui dépend du volume de travail confié. 15. Les dépenses en recherche et développement qui peuvent varier selon les projets lancés.",Achats de matériel direct,4100,Ce compte enregistre les achats de matériel utilisé directement dans la production.
